duration_h,duration_label,asset_mwh,run_mode,n_paths,n_steps,valuation_horizon_years,annualization_factor,lsmc_annual_mean_gbp,lsmc_gbp_per_mw_year,cashflow_mean_gbp,charge_fraction,discharge_fraction,idle_fraction,dominant_action_fraction
0.5,0.5h,50.0,partial,250,240,0.013699,73.0,3130030,31300,178.76499938964844,0.0,0.0,1.0,0.9731
1.0,1h,100.0,partial,250,240,0.013699,73.0,6339243,63392,362.1067199707031,0.13791666666666666,0.13701666666666668,0.7250666666666666,0.7053
1.5,1.5h,150.0,partial,250,240,0.013699,73.0,7441939,74419,425.10687255859375,0.18811666666666665,0.15645,0.6554333333333333,0.6380166666666667
2.0,2h,200.0,partial,250,240,0.013699,73.0,9112524,91125,520.5101928710938,0.16515,0.17445,0.6604,0.6427333333333334
2.5,2.5h,250.0,partial,250,240,0.013699,73.0,3239769,32398,185.082763671875,0.16426666666666667,0.1495,0.6862333333333334,0.6677166666666666
3.0,3h,300.0,partial,250,240,0.013699,73.0,9359339,93593,534.5972290039062,0.10826666666666666,0.07091666666666667,0.8208166666666666,0.7988666666666666
