duration_h,duration_label,asset_mwh,run_mode,n_paths,n_steps,valuation_horizon_years,annualization_factor,lsmc_annual_mean_gbp,lsmc_gbp_per_mw_year,cashflow_mean_gbp,charge_fraction,discharge_fraction,idle_fraction,true_idle_fraction,reserve_only_fraction,dominant_action_fraction,beta_abs_max,target_std_max,continuation_clip_fraction_max
0.5,0.5h,50.0,partial,250,240,0.013699,73.0,838881,8389,47.911373138427734,0.0,0.0,1.0,0.0198,0.9802,0.9802,124202.25381586293,11313.161121850379,0.0
1.0,1h,100.0,partial,250,240,0.013699,73.0,4370342,43703,249.64529418945312,0.15681666666666666,0.14111666666666667,0.7020666666666666,0.13905,0.5630166666666667,0.32085,2166867.0360956066,77408.72436643446,0.0
1.5,1.5h,150.0,partial,250,240,0.013699,73.0,5181924,51819,295.98834228515625,0.10938333333333333,0.0971,0.7935166666666666,0.04641666666666667,0.7471,0.3829666666666667,1527167.9875609311,83177.19768387599,0.0
2.0,2h,200.0,partial,250,240,0.013699,73.0,3450543,34505,197.1112823486328,0.15031666666666665,0.1387,0.7109833333333333,0.06013333333333333,0.65085,0.37056666666666666,1160416.4817709522,87013.96378982517,0.0
2.5,2.5h,250.0,partial,250,240,0.013699,73.0,-276282,-2763,-15.768045425415039,0.13553333333333334,0.12358333333333334,0.7408833333333333,0.020233333333333332,0.72065,0.43245,1053741.4332689052,89043.88638630752,0.0
3.0,3h,300.0,partial,250,240,0.013699,73.0,4366700,43667,249.41241455078125,0.08645,0.08413333333333334,0.8294166666666667,0.3178166666666667,0.5116,0.3178166666666667,1112813.1082982696,93781.52817522407,0.0
3.5,3.5h,350.0,partial,250,240,0.013699,73.0,4744080,47441,270.97503662109375,0.07628333333333333,0.07433333333333333,0.8493833333333334,0.20835,0.6410333333333333,0.5820166666666666,1138657.6051478619,95853.6788055997,0.0
4.0,4h,400.0,partial,250,240,0.013699,73.0,4679872,46799,267.31182861328125,0.07335,0.0694,0.85725,0.16708333333333333,0.6901666666666666,0.6717,1165539.5076935054,97469.03206892991,0.0
