duration_h,duration_label,returncode,elapsed_s,executed_notebook,skipped
0.5,0.5h,0,15.404817819595337,04_lsmc_valuation_0.5h.executed.ipynb,False
1.0,1h,0,14.71664571762085,04_lsmc_valuation_1h.executed.ipynb,False
1.5,1.5h,0,15.249680042266846,04_lsmc_valuation_1.5h.executed.ipynb,False
2.0,2h,0,14.819658279418945,04_lsmc_valuation_2h.executed.ipynb,False
2.5,2.5h,0,14.694797277450562,04_lsmc_valuation_2.5h.executed.ipynb,False
3.0,3h,0,15.758219480514526,04_lsmc_valuation_3h.executed.ipynb,False
3.5,3.5h,0,15.26767611503601,04_lsmc_valuation_3.5h.executed.ipynb,False
4.0,4h,0,15.010057210922241,04_lsmc_valuation_4h.executed.ipynb,False
