scenario,duration_h,duration_label,asset_mwh,run_mode,n_paths,n_steps,valuation_horizon_years,annualization_factor,lsmc_annual_mean_gbp,lsmc_gbp_per_mw_year,cashflow_mean_gbp,charge_fraction,discharge_fraction,idle_fraction,true_idle_fraction,reserve_only_fraction,dominant_action_fraction,beta_abs_max,target_std_max,continuation_clip_fraction_max
energy_only,0.5,0.5h,50.0,medium,1000,4320,0.246575,4.055556,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,62179.07594136793,9193.252846169386,0.0
energy_only,1.0,1h,100.0,medium,1000,4320,0.246575,4.055556,4616686,46167,266.5410461425781,0.07597731481481482,0.06706412037037036,0.8569585648148148,0.8569585648148148,0.0,0.8569585648148148,9920023.908298042,93484.83197776177,0.0
energy_only,1.5,1.5h,150.0,medium,1000,4320,0.246575,4.055556,1588396,15884,91.65695190429688,0.023996064814814814,0.021270833333333333,0.9547331018518519,0.9547331018518519,0.0,0.9547331018518519,7085137.493300253,100325.0139287838,0.0
energy_only,2.0,2h,200.0,medium,1000,4320,0.246575,4.055556,2310517,23105,133.43548583984375,0.0319,0.0283375,0.9397625,0.9397625,0.0,0.9397625,5385144.6482710475,103333.59638299719,0.0
energy_only,2.5,2.5h,250.0,medium,1000,4320,0.246575,4.055556,-66109,-661,-3.762385845184326,0.006803240740740741,0.0063296296296296295,0.9868671296296296,0.9868671296296296,0.0,0.9868671296296296,4850413.468151765,105789.28963659925,0.0
energy_only,3.0,3h,300.0,medium,1000,4320,0.246575,4.055556,275101,2751,15.732151985168457,0.0036446759259259258,0.004118055555555555,0.9922372685185186,0.9922372685185186,0.0,0.9922372685185186,5033206.221242337,109762.926902004,0.0
energy_only,3.5,3.5h,350.0,medium,1000,4320,0.246575,4.055556,287128,2871,16.433673858642578,0.00293125,0.0034949074074074075,0.9935738425925926,0.9935738425925926,0.0,0.9935738425925926,5126787.093552708,111843.65665931653,0.0
energy_only,4.0,4h,400.0,medium,1000,4320,0.246575,4.055556,301766,3018,17.3016300201416,0.0027118055555555554,0.003308564814814815,0.9939796296296296,0.9939796296296296,0.0,0.9939796296296296,5222115.755198334,113907.1026056255,0.0
cooptimised,0.5,0.5h,50.0,medium,1000,4320,0.246575,4.055556,864246,8642,49.878902435302734,0.0,0.0,1.0,0.02251875,0.97748125,0.97748125,675348.6389642658,9495.7459120426,0.0
cooptimised,1.0,1h,100.0,medium,1000,4320,0.246575,4.055556,6070324,60703,350.4234619140625,0.06897847222222223,0.060889351851851854,0.870132175925926,0.12699027777777777,0.7431418981481481,0.48367777777777776,9884630.216451842,92054.38855561175,0.0
cooptimised,1.5,1.5h,150.0,medium,1000,4320,0.246575,4.055556,2424745,24247,139.72296142578125,0.02274050925925926,0.020131018518518517,0.9571284722222222,0.5180622685185186,0.4390662037037037,0.5180622685185186,6942101.374766986,97668.90164945011,0.0
cooptimised,2.0,2h,200.0,medium,1000,4320,0.246575,4.055556,4492959,44930,259.42120361328125,0.03424351851851852,0.030394444444444446,0.935362037037037,0.02744513888888889,0.9079168981481482,0.5999597222222223,5293886.689281268,100860.11707826586,0.0
cooptimised,2.5,2.5h,250.0,medium,1000,4320,0.246575,4.055556,2172098,21721,125.3778076171875,0.006862268518518518,0.006347453703703704,0.9867902777777777,0.05503518518518519,0.9317550925925926,0.5812525462962963,5305462.955290986,102390.20118325792,0.0
cooptimised,3.0,3h,300.0,medium,1000,4320,0.246575,4.055556,884473,8845,50.667724609375,0.004968518518518519,0.005260648148148148,0.9897708333333334,0.7765657407407407,0.2132050925925926,0.7765657407407407,5507779.254187943,107293.73341241974,0.0
cooptimised,3.5,3.5h,350.0,medium,1000,4320,0.246575,4.055556,1451550,14515,83.43165588378906,0.0034983796296296295,0.004060648148148148,0.9924409722222223,0.5460708333333333,0.44637013888888893,0.5460708333333333,5586644.934316706,109144.34310548427,0.0
cooptimised,4.0,4h,400.0,medium,1000,4320,0.246575,4.055556,1989898,19899,114.58147430419922,0.002852546296296296,0.0034217592592592594,0.9937256944444445,0.45721527777777776,0.5365104166666667,0.5202122685185185,5691485.843123373,110757.25784470842,0.0
