duration_h,duration_label,asset_mwh,run_mode,n_paths,n_steps,valuation_horizon_years,annualization_factor,lsmc_annual_mean_gbp,lsmc_gbp_per_mw_year,cashflow_mean_gbp,charge_fraction,discharge_fraction,idle_fraction,true_idle_fraction,reserve_only_fraction,dominant_action_fraction,beta_abs_max,target_std_max,continuation_clip_fraction_max
0.5,0.5h,50.0,medium,1000,4320,0.246575,4.055556,864246,8642,49.878902435302734,0.0,0.0,1.0,0.02251875,0.97748125,0.97748125,675348.6389642658,9495.7459120426,0.0
1.0,1h,100.0,medium,1000,4320,0.246575,4.055556,6070324,60703,350.4234619140625,0.06897847222222223,0.060889351851851854,0.870132175925926,0.12699027777777777,0.7431418981481481,0.48367777777777776,9884630.216451842,92054.38855561175,0.0
1.5,1.5h,150.0,medium,1000,4320,0.246575,4.055556,2424745,24247,139.72296142578125,0.02274050925925926,0.020131018518518517,0.9571284722222222,0.5180622685185186,0.4390662037037037,0.5180622685185186,6942101.374766986,97668.90164945011,0.0
2.0,2h,200.0,medium,1000,4320,0.246575,4.055556,4492959,44930,259.42120361328125,0.03424351851851852,0.030394444444444446,0.935362037037037,0.02744513888888889,0.9079168981481482,0.5999597222222223,5293886.689281268,100860.11707826586,0.0
2.5,2.5h,250.0,medium,1000,4320,0.246575,4.055556,2172098,21721,125.3778076171875,0.006862268518518518,0.006347453703703704,0.9867902777777777,0.05503518518518519,0.9317550925925926,0.5812525462962963,5305462.955290986,102390.20118325792,0.0
3.0,3h,300.0,medium,1000,4320,0.246575,4.055556,884473,8845,50.667724609375,0.004968518518518519,0.005260648148148148,0.9897708333333334,0.7765657407407407,0.2132050925925926,0.7765657407407407,5507779.254187943,107293.73341241974,0.0
3.5,3.5h,350.0,medium,1000,4320,0.246575,4.055556,1451550,14515,83.43165588378906,0.0034983796296296295,0.004060648148148148,0.9924409722222223,0.5460708333333333,0.44637013888888893,0.5460708333333333,5586644.934316706,109144.34310548427,0.0
4.0,4h,400.0,medium,1000,4320,0.246575,4.055556,1989898,19899,114.58147430419922,0.002852546296296296,0.0034217592592592594,0.9937256944444445,0.45721527777777776,0.5365104166666667,0.5202122685185185,5691485.843123373,110757.25784470842,0.0
