duration_h,duration_label,returncode,elapsed_s,executed_notebook,skipped
0.5,0.5h,0,145.8673026561737,04_lsmc_valuation_0.5h.executed.ipynb,False
1.0,1h,0,151.8550488948822,04_lsmc_valuation_1h.executed.ipynb,False
1.5,1.5h,0,185.47432684898376,04_lsmc_valuation_1.5h.executed.ipynb,False
2.0,2h,0,181.3907470703125,04_lsmc_valuation_2h.executed.ipynb,False
2.5,2.5h,0,178.8352189064026,04_lsmc_valuation_2.5h.executed.ipynb,False
3.0,3h,0,183.30892634391785,04_lsmc_valuation_3h.executed.ipynb,False
3.5,3.5h,0,189.11336207389832,04_lsmc_valuation_3.5h.executed.ipynb,False
4.0,4h,0,190.5330307483673,04_lsmc_valuation_4h.executed.ipynb,False
