duration_h,duration_label,asset_mwh,run_mode,n_paths,n_steps,valuation_horizon_years,annualization_factor,lsmc_annual_mean_gbp,lsmc_gbp_per_mw_year,cashflow_mean_gbp,charge_fraction,discharge_fraction,idle_fraction,dominant_action_fraction,beta_abs_max,target_std_max,continuation_clip_fraction_max
0.5,0.5h,50.0,medium,1000,4320,0.246575,4.055556,3136330,31363,181.00941467285156,0.0,0.0,1.0,0.9694011574074074,833123.3435895346,9840.228522331921,0.0
1.0,1h,100.0,medium,1000,4320,0.246575,4.055556,4932090,49321,284.8833312988281,0.022765046296296297,0.020618287037037036,0.9566166666666667,0.9271023148148149,8101584.296985445,94683.32505348946,0.0
1.5,1.5h,150.0,medium,1000,4320,0.246575,4.055556,8809488,88095,508.88812255859375,0.04782175925925926,0.054302777777777776,0.897875462962963,0.8702425925925926,5775046.291302945,101720.54566054068,0.0
2.0,2h,200.0,medium,1000,4320,0.246575,4.055556,11359852,113599,655.979736328125,0.07047476851851851,0.05971805555555556,0.8698071759259259,0.8430729166666666,5064553.030167453,104862.23589767578,0.0
2.5,2.5h,250.0,medium,1000,4320,0.246575,4.055556,4618949,46189,266.92535400390625,0.01904398148148148,0.017124074074074073,0.9638319444444444,0.9340518518518518,5203692.66835678,107458.74940712853,0.0
3.0,3h,300.0,medium,1000,4320,0.246575,4.055556,5235894,52359,302.36444091796875,0.017190972222222222,0.015549074074074075,0.9672599537037037,0.9373611111111111,5373352.805094905,111440.00385541371,0.0
3.5,3.5h,350.0,medium,1000,4320,0.246575,4.055556,9687969,96880,559.4647827148438,0.04382083333333334,0.04497384259259259,0.9112053240740741,0.8831106481481481,5460689.053537619,113462.6943203993,0.0
4.0,4h,400.0,medium,1000,4320,0.246575,4.055556,6896082,68961,398.39068603515625,0.025055555555555557,0.026636342592592593,0.9483081018518519,0.9189988425925926,5549290.271015789,115462.50130981031,0.0
