year_month,days,bm_rev_gbp_mw_yr,duration_h
2024-01,31,2688.423752908024,1.0
2024-02,29,2387.6485651616563,1.0
2024-03,31,4370.973094960905,1.0
2024-04,30,3410.7989030189538,1.0
2024-05,31,4292.855352194123,1.0
2024-06,30,4849.810251156264,1.0
2024-07,31,3712.53405878279,1.0
2024-08,31,3253.7797110124206,1.0
2024-09,30,2900.9363318491382,1.0
2024-10,31,4317.087836420257,1.0
2024-11,30,6020.244182944156,1.0
2024-12,31,8330.63469618739,1.0
2025-01,31,10506.98765666247,1.0
2025-02,28,10119.534152423932,1.0
2025-03,31,7628.97683003212,1.0
2025-04,30,5796.50232634425,1.0
2025-05,31,5959.717987863084,1.0
2025-06,30,7266.000291381174,1.0
2025-07,31,6467.017592004936,1.0
2025-08,31,5899.572461426687,1.0
2025-09,30,5811.392311279803,1.0
2025-10,31,8249.816271845793,1.0
2025-11,30,8116.936974043713,1.0
2025-12,31,8403.873123959223,1.0
2026-01,31,11871.077322073246,1.0
2026-02,28,9648.868552043295,1.0
2026-03,31,13487.35692029319,1.0
2026-04,25,12709.017881849586,1.0
