comparison_type,duration_h,stream,nb13_method,b1_gbp_per_mw_year_k,b1_value_gbp_annualized_m,nb13_gbp_per_mw_year_k,nb13_value_gbp_annualized_m,diff_gbp_annualized_m,diff_pct_vs_nb13
direct_DA_perfect_foresight,1.0,DA,Perfect foresight (DA energy),19.819673069506713,1.9819673069506714,15.611726645268108,1.561172664526811,0.42079464242386044,26.953754186530205
direct_DA_perfect_foresight,2.0,DA,Perfect foresight (DA energy),36.03985716002265,3.603985716002265,29.66313956024002,2.9663139560240017,0.6376717599782631,21.497109524879416
context_not_strictly_like_for_like,1.0,SP_perfect_foresight,WD rolling intrinsic,71.72619730986258,7.172619730986258,26.7043942236579,2.67043942236579,4.502180308620469,168.593238660022
context_not_strictly_like_for_like,2.0,SP_perfect_foresight,WD rolling intrinsic,106.51073418815899,10.651073418815898,44.675424074358446,4.467542407435845,6.183531011380053,138.41012457068322
context_not_strictly_like_for_like,1.0,WD60_perfect_foresight,WD rolling intrinsic,67.34090604743989,6.734090604743988,26.7043942236579,2.67043942236579,4.063651182378198,152.17162944584368
context_not_strictly_like_for_like,2.0,WD60_perfect_foresight,WD rolling intrinsic,100.4947235242827,10.049472352428271,44.675424074358446,4.467542407435845,5.581929944992426,124.94408415019807
context_not_strictly_like_for_like,1.0,DA,Forward simulation (LSMC),19.819673069506713,1.9819673069506714,19.06669511575996,1.9066695115759955,0.07529779537467585,3.949179179586134
context_not_strictly_like_for_like,2.0,DA,Forward simulation (LSMC),36.03985716002265,3.603985716002265,39.64999589318241,3.9649995893182406,-0.3610138733159758,-9.105016663521273
