label,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h
Y1,0.6678294574312954,1.3356589148625913,1.9702070649337666,2.556306120003631,3.1267248855131253,3.57899340911599,3.990313380493808,4.3607910088325115
Y2,0.4963509524537879,0.9927019049075765,1.4642534552458686,1.8997077320778506,2.3234716410979024,2.6593035826370044,2.964682541418843,3.2396133226758486
Y3,0.4277897551940252,0.8555795103880507,1.2619580163770672,1.6371385674850423,2.0022635612723714,2.291664464302597,2.554827308536423,2.7917460194815615
Y4,0.4205603450798429,0.8411206901596864,1.2406418653426226,1.6095364851167429,1.968532925090604,2.252946345087208,2.511510653517026,2.7441660329469117
Y5,0.41439444273222864,0.8287888854644578,1.2224725236868745,1.5860082143395022,1.9397933758380648,2.2200539007629496,2.4748242337714004,2.704154694507846
Total,2.4269249528911803,4.853849905782362,7.1595329255862,9.288697119022768,11.360786388812068,13.00296170190575,14.496158117737501,15.84047107844468
Annual avg,0.48538499057823603,0.9707699811564725,1.4319065851172401,1.8577394238045535,2.2721572777624135,2.60059234038115,2.8992316235475,3.168094215688936
