duration_h,run_mode,method,value_gbp_horizon_mean,value_gbp_annualized_mean,gbp_per_mw_year,n_paths,window_hh,gate_hh,notes,value_gbp_annualized_m,gbp_per_mw_year_k,p5_ann_m,p95_ann_m
2.0,medium,Initial hourly intrinsic,1857417.3918294378,1857417.3918294378,18574.17391829438,1,24,24,HPFC hourly daily LP; 5-year annual avg gross revenue as-of 2026-05-03; energy-only,1.8574173918294379,18.574173918294377,1.8574173918294379,1.8574173918294379
2.0,medium,DA rolling intrinsic,190855.16927737743,3096094.968277456,30960.949682774557,125,48,8,"HPFC-anchored simulated paths (125 paths); rolling LP; DA prices only; energy-only, VOM=0",3.096094968277456,30.960949682774558,2.389349243723471,3.8028406928314427
2.0,medium,WD rolling intrinsic,275396.44977344247,4467542.407435845,44675.424074358445,125,48,8,"HPFC-anchored simulated paths (125 paths); rolling LP; intraday (DA + delta_imb) prices at gate; energy-only, VOM=0",4.467542407435845,44.675424074358446,3.9865879573838905,4.948496857487797
2.0,medium,Forward simulation (LSMC),231592.17602119633,3756939.7443438517,37569.397443438516,125,0,0,"Non-anticipative LSMC policy on 125 paths + antithetic variates; full-stack: DA+ancillary, VOM=1.20 £/MWh, degradation cost",3.7569397443438515,37.56939744343852,3.508889732184054,4.004989756503649
2.0,medium,Perfect foresight (DA energy),182854.96989189053,2966313.956024002,29663.13956024002,125,1080,1080,"Full-horizon LP on 125 sampled HPFC-anchored DA paths; energy-only (VOM=0), terminal SoC=100 MWh; upper bound on DA energy arbitrage",2.9663139560240017,29.66313956024002,2.3066031309849806,3.626024781063023
