duration_h,run_mode,method,value_gbp_horizon_mean,value_gbp_annualized_mean,gbp_per_mw_year,n_paths,window_hh,gate_hh,notes,value_gbp_annualized_m,gbp_per_mw_year_k,p5_ann_m,p95_ann_m
3.0,medium,Initial hourly intrinsic,2600096.7440298814,2600096.7440298814,26000.967440298813,1,24,24,HPFC hourly daily LP; 5-year annual avg gross revenue as-of 2026-05-03; energy-only,2.6000967440298814,26.000967440298812,2.6000967440298814,2.6000967440298814
3.0,medium,DA rolling intrinsic,266948.58990644984,4330499.347371297,43304.993473712966,125,48,8,"HPFC-anchored simulated paths (125 paths); rolling LP; DA prices only; energy-only, VOM=0",4.330499347371297,43.30499347371297,3.3382854223049465,5.32271327243765
3.0,medium,WD rolling intrinsic,356264.54377874715,5779402.599077454,57794.025990774535,125,48,8,"HPFC-anchored simulated paths (125 paths); rolling LP; intraday (DA + delta_imb) prices at gate; energy-only, VOM=0",5.779402599077454,57.794025990774536,5.034696033443671,6.524109164711234
3.0,medium,Forward simulation (LSMC),321164.53447909246,5210002.448216387,52100.02448216387,125,0,0,"Non-anticipative LSMC policy on 125 paths + antithetic variates; full-stack: DA+ancillary, VOM=1.20 £/MWh, degradation cost",5.210002448216387,52.10002448216387,4.983456768999239,5.436548127433536
3.0,medium,Perfect foresight (DA energy),254867.18687900697,4134512.142703891,41345.12142703891,125,1080,1080,"Full-horizon LP on 125 sampled HPFC-anchored DA paths; energy-only (VOM=0), terminal SoC=150 MWh; upper bound on DA energy arbitrage",4.1345121427038904,41.34512142703891,3.213175280112347,5.055849005295435
