duration_h,method,gbp_per_mw_year,value_gbp_annualized_m,n_paths,base_method,cm_gbp_per_mw_year_k,cm_value_gbp_annualized_m,base_value_gbp_annualized_m,base_gbp_per_mw_year_k,gbp_per_mw_year_k
1.0,Forward simulation (LSMC + CM overlay),22.633940341660896,2.2633940341660894,250,Forward simulation (LSMC),6.0,0.6,1.6633940341660896,16.633940341660896,22.633940341660896
1.0,Forward simulation (LSMC),16.633940341660896,1.6633940341660896,250,,,,,,
2.0,Forward simulation (LSMC + CM overlay),40.666856280598935,4.0666856280598935,250,Forward simulation (LSMC),6.0,0.6,3.4666856280598934,34.666856280598935,40.666856280598935
2.0,Forward simulation (LSMC),34.666856280598935,3.4666856280598934,250,,,,,,
3.0,Forward simulation (LSMC + CM overlay),48.937257200742025,4.893725720074202,250,Forward simulation (LSMC),6.0,0.6,4.293725720074202,42.937257200742025,48.937257200742025
3.0,Forward simulation (LSMC),42.937257200742025,4.293725720074202,250,,,,,,
4.0,Forward simulation (LSMC + CM overlay),49.31845577700007,4.931845577700006,250,Forward simulation (LSMC),6.0,0.6,4.3318455777000064,43.31845577700007,49.31845577700007
4.0,Forward simulation (LSMC),43.31845577700007,4.3318455777000064,250,,,,,,
